html_file,image_reference,count
media/index.html,/images/logos-story/lgs-12-hero.webp,1
media/index.html,/images/mda/mda-01-intro.webp,1
media/index.html,/images/mda/mda-06-signal.webp,1
media/index.html,/images/slides/substrate_fracture_01.webp,1
media/index.html,/images/slides/substrate_fracture_02.webp,1
media/index.html,/images/slides/substrate_fracture_03.webp,1
media/index.html,/images/slides/substrate_fracture_04.webp,1
media/index.html,/images/slides/substrate_fracture_05.webp,1
moral-decline/00-entry-and-series-map/MDA-000-series-map.html,../images/mda/PHASE_TRANSITION%20conv%207.webp,1
moral-decline/00-entry-and-series-map/MDA-000-series-map.html,../images/mda/Signal_Blackout%20conv%205.webp,1
moral-decline/01-story-thread/MDA-001-story-introduction.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%2012.webp,1
moral-decline/01-story-thread/MDA-001-story-introduction.html,../images/mda/The_Observer_Collapsed%20conv%206.webp,1
moral-decline/01-story-thread/MDA-002-samuel-1900.html,../images/mda/The_Observer_Collapsed%20conv%2012.webp,1
moral-decline/01-story-thread/MDA-008-henry-1926.html,../images/mda/The_Observer_Collapsed%20conv%2013.webp,1
moral-decline/01-story-thread/MDA-008-henry-1926.html,../images/mda/The_Observer_Collapsed%20conv%207.webp,1
moral-decline/01-story-thread/MDA-012-william-1950.html,../images/mda/PHASE_TRANSITION%20conv%202.webp,1
moral-decline/01-story-thread/MDA-012-william-1950.html,../images/mda/The_1962_Software_Crash%20conv%204.webp,1
moral-decline/01-story-thread/MDA-016-thomas-1974.html,../images/mda/PHASE_TRANSITION%20conv%200.webp,1
moral-decline/01-story-thread/MDA-016-thomas-1974.html,../images/mda/The_1962_Software_Crash%20conv%200.webp,1
moral-decline/01-story-thread/MDA-031-jacob-1998.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%206.webp,1
moral-decline/01-story-thread/MDA-031-jacob-1998.html,../images/mda/The_Observer_Collapsed%20conv%200.webp,1
moral-decline/02-method-and-metrics/MDA-003-measuring-moral-health.html,../images/mda/PHASE_TRANSITION%20conv%2011.webp,1
moral-decline/02-method-and-metrics/MDA-003-measuring-moral-health.html,../images/mda/The_Observer_Collapsed%20conv%209.webp,1
moral-decline/02-method-and-metrics/MDA-006-research-method.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%207.webp,1
moral-decline/02-method-and-metrics/MDA-006-research-method.html,../images/mda/The_Observer_Collapsed%20conv%205.webp,1
moral-decline/02-method-and-metrics/MDA-007-nine-domains.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%208.webp,1
moral-decline/02-method-and-metrics/MDA-007-nine-domains.html,../images/mda/Signal_Blackout%20conv%2010.webp,1
moral-decline/03-evidence-chronology/MDA-005-empirical-evidence.html,../images/mda/PHASE_TRANSITION%20conv%2012.webp,1
moral-decline/03-evidence-chronology/MDA-005-empirical-evidence.html,../images/mda/PHASE_TRANSITION%20conv%208.webp,1
moral-decline/03-evidence-chronology/MDA-009-the-1900-baseline.html,../images/mda/PHASE_TRANSITION%20conv%205.webp,1
moral-decline/03-evidence-chronology/MDA-009-the-1900-baseline.html,../images/mda/The_1962_Software_Crash%20conv%202.webp,1
moral-decline/03-evidence-chronology/MDA-010-pre-modern-baseline.html,../images/mda/PHASE_TRANSITION%20conv%201.webp,1
moral-decline/03-evidence-chronology/MDA-010-pre-modern-baseline.html,../images/mda/PHASE_TRANSITION%20conv%204.webp,1
moral-decline/03-evidence-chronology/MDA-011-collective-security-1930.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%201.webp,1
moral-decline/03-evidence-chronology/MDA-011-collective-security-1930.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%2011.webp,1
moral-decline/03-evidence-chronology/MDA-013-peak-coherence-1940.html,../images/mda/Signal_Blackout%20conv%2011.webp,1
moral-decline/03-evidence-chronology/MDA-013-peak-coherence-1940.html,../images/mda/The_1962_Software_Crash%20conv%203.webp,1
moral-decline/03-evidence-chronology/MDA-014-fissure-1950.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%202.webp,1
