"canonical_order","group","file","status","sha256","source","sorted_copy"
"22","03-evidence-chronology","MDA-009-the-1900-baseline.html","copied","483072069551D1E0577EB22486BB20120478BEA1677C5EC5B43BE9C84936309D","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-009-the-1900-baseline.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\03-evidence-chronology\MDA-009-the-1900-baseline.html"
"23","03-evidence-chronology","MDA-010-pre-modern-baseline.html","copied","B9B3B6A65A3EF9037832E6A71DFC90F5CD0727878D8E4D01D249DD526C161FBE","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-010-pre-modern-baseline.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\03-evidence-chronology\MDA-010-pre-modern-baseline.html"
"24","03-evidence-chronology","MDA-013-peak-coherence-1940.html","copied","1DDC62A3EDA14485B08880DAA962CB73FB70587889D2AE93D679B92ECC65A3A5","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-013-peak-coherence-1940.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\03-evidence-chronology\MDA-013-peak-coherence-1940.html"
"25","03-evidence-chronology","MDA-014-fissure-1950.html","copied","5062D6DE5F323BC4B41CC25553E02EB5F65DC9E0A816E2B105111ABF29126A1A","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-014-fissure-1950.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\03-evidence-chronology\MDA-014-fissure-1950.html"
"26","03-evidence-chronology","MDA-015-long-decline.html","copied","5D258E503DA1991F06B49A7ED103143E383C50E5D39C374ED4437F2202632A9C","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-015-long-decline.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\03-evidence-chronology\MDA-015-long-decline.html"
"27","03-evidence-chronology","MDA-017-unraveling-1960.html","copied","B35DC5E0BD6DCEF5411BDA131A43BAEAF532DCF6ABF7036D81B10D1BCDD5A31C","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-017-unraveling-1960.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\03-evidence-chronology\MDA-017-unraveling-1960.html"
"28","03-evidence-chronology","MDA-018-great-decoupling-1968.html","copied","413AD73AB48415F6F94BD691214C0F11A1C0B28F33232EB7260E70D8407EFF23","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-018-great-decoupling-1968.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\03-evidence-chronology\MDA-018-great-decoupling-1968.html"
"29","03-evidence-chronology","MDA-019-current-state-2024.html","copied","6D10B7F3D2B751D5F685CA41D0FF78307ECA97FAA5307D7E5E496287BF7FA6D5","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-019-current-state-2024.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\03-evidence-chronology\MDA-019-current-state-2024.html"
"30","04-collapse-mechanisms","MDA-020-phase-transition.html","copied","8ACF383C5363E55F3432D1DB23A2ED20F4EAFA594A0DB094252328AF7E515478","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-020-phase-transition.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\04-collapse-mechanisms\MDA-020-phase-transition.html"
"31","04-collapse-mechanisms","MDA-021-anatomy-of-phase-transition.html","copied","5B531D5699E6199F8341645A02F64320522B9502DF14084DE4DA89C593CBFD53","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-021-anatomy-of-phase-transition.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\04-collapse-mechanisms\MDA-021-anatomy-of-phase-transition.html"
"32","04-collapse-mechanisms","MDA-022-cascade.html","copied","FD24EA0C403663288D8E701F828213B2B60D4952299E7428CFB54196A120F6B0","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-022-cascade.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\04-collapse-mechanisms\MDA-022-cascade.html"
"33","04-collapse-mechanisms","MDA-023-coherence-cascade.html","copied","933597A936677ACDE1B88060F483E9A3F0ED36A5A400CD42E7A94FB622605D1D","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-023-coherence-cascade.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\04-collapse-mechanisms\MDA-023-coherence-cascade.html"
"34","04-collapse-mechanisms","MDA-024-semantic-collapse.html","copied","4D85D6782AA2F0F3C80AE3C5D30A3439C5690AEDB0FC787703F283F4A663C91D","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-024-semantic-collapse.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\04-collapse-mechanisms\MDA-024-semantic-collapse.html"
"35","04-collapse-mechanisms","MDA-025-cognitive-decline.html","copied","F08A5DC8EA391CF34DDEF43249F145F87271449F10388C738902ED8C9E2ED00E","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-025-cognitive-decline.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\04-collapse-mechanisms\MDA-025-cognitive-decline.html"
"36","04-collapse-mechanisms","MDA-026-spiritual-collapse.html","copied","F6A413A71D6F6BF2391C041B89F1A1F2F688D0B9AB37842E3F7318664FD402BB","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-026-spiritual-collapse.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\04-collapse-mechanisms\MDA-026-spiritual-collapse.html"
"37","04-collapse-mechanisms","MDA-027-signal-went-dark.html","copied","4266DAF0010974CC0FC619FB2D0BDAA0F8014D1458B597D0AA9640884B708068","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-027-signal-went-dark.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\04-collapse-mechanisms\MDA-027-signal-went-dark.html"
"38","04-collapse-mechanisms","MDA-028-phantom-money.html","copied","418BE589C28DEF26AC02C80519B777C0AC466E723A3F3E2905A4BDC76FB2D73D","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-028-phantom-money.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\04-collapse-mechanisms\MDA-028-phantom-money.html"
"39","04-collapse-mechanisms","MDA-029-observer-collapsed.html","copied","5C1EF9AA356091FFD412B527398E82B11863B6B3FC12F113FAA4D9A691E0B494","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-029-observer-collapsed.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\04-collapse-mechanisms\MDA-029-observer-collapsed.html"
